date,value
04/01/1960,114
05/01/1960,114
06/01/1960,114.5
07/01/1960,114.88
08/01/1960,114.38
11/01/1960,114
12/01/1960,114.25
13/01/1960,114.5
14/01/1960,114.63
15/01/1960,114.75
18/01/1960,115.25
19/01/1960,115
20/01/1960,114.88
21/01/1960,114.75
22/01/1960,114.5
25/01/1960,114
26/01/1960,114.13
27/01/1960,114.25
28/01/1960,114.25
29/01/1960,114.13
01/02/1960,113.75
02/02/1960,113.88
03/02/1960,114.63
04/02/1960,114.38
05/02/1960,114.25
08/02/1960,114.5
09/02/1960,114.38
10/02/1960,114
11/02/1960,114.13
12/02/1960,113.75
15/02/1960,113.38
16/02/1960,112.88
17/02/1960,113
18/02/1960,112.75
19/02/1960,112
23/02/1960,111.5
24/02/1960,111.63
25/02/1960,112.13
26/02/1960,112
29/02/1960,112.38
01/03/1960,113.25
02/03/1960,113
03/03/1960,113.25
04/03/1960,113
07/03/1960,113.5
08/03/1960,113.63
09/03/1960,114.5
10/03/1960,114.25
11/03/1960,113.75
14/03/1960,114
15/03/1960,114
16/03/1960,114
17/03/1960,113.75
18/03/1960,114
21/03/1960,113.75
22/03/1960,113.88
23/03/1960,116.75
24/03/1960,117.25
25/03/1960,117.5
28/03/1960,117.75
29/03/1960,118.25
30/03/1960,119
31/03/1960,119.25
01/04/1960,119.25
04/04/1960,118.63
05/04/1960,118
06/04/1960,118.13
07/04/1960,118.5
08/04/1960,118.38
11/04/1960,118.38
12/04/1960,118.88
13/04/1960,119.13
14/04/1960,119.13
18/04/1960,119.13
19/04/1960,118.5
20/04/1960,118.63
21/04/1960,119
22/04/1960,119.25
25/04/1960,119.25
26/04/1960,118.88
27/04/1960,118.25
28/04/1960,118.38
29/04/1960,118.63
02/05/1960,118
03/05/1960,118
04/05/1960,117
05/05/1960,117.38
06/05/1960,117.88
09/05/1960,117.25
10/05/1960,116.75
11/05/1960,116.75
12/05/1960,117.88
13/05/1960,117.38
16/05/1960,118.38
17/05/1960,118.63
18/05/1960,118.38
19/05/1960,118.75
20/05/1960,121.88
23/05/1960,121.38
24/05/1960,121.13
25/05/1960,121.5
26/05/1960,121.5
27/05/1960,121.63
31/05/1960,121.38
01/06/1960,121
02/06/1960,120.5
03/06/1960,120.13
06/06/1960,120.13
07/06/1960,119.75
08/06/1960,119.25
09/06/1960,119.25
10/06/1960,118.5
13/06/1960,118.63
14/06/1960,118.75
15/06/1960,118.63
16/06/1960,118.88
17/06/1960,118.13
20/06/1960,117.38
21/06/1960,116.88
22/06/1960,115.88
23/06/1960,116.13
24/06/1960,116
27/06/1960,115.88
28/06/1960,115.75
29/06/1960,115
30/06/1960,115.13
01/07/1960,116.63
05/07/1960,117.5
06/07/1960,117.75
07/07/1960,117.88
08/07/1960,118.38
11/07/1960,118.5
12/07/1960,117.88
13/07/1960,117.88
14/07/1960,117.5
15/07/1960,117.13
18/07/1960,116.88
19/07/1960,117.63
20/07/1960,114
21/07/1960,116.88
22/07/1960,116.75
25/07/1960,116.38
26/07/1960,116.5
27/07/1960,116.88
28/07/1960,116.63
29/07/1960,116.13
01/08/1960,116.38
02/08/1960,116.38
03/08/1960,115.88
04/08/1960,116.38
05/08/1960,116
08/08/1960,115.13
09/08/1960,114.88
10/08/1960,115.13
11/08/1960,114.88
12/08/1960,114.88
15/08/1960,115.13
16/08/1960,115.5
17/08/1960,116.38
18/08/1960,116.13
19/08/1960,115.5
22/08/1960,115.25
23/08/1960,115.75
24/08/1960,115.88
25/08/1960,115.75
26/08/1960,115.88
29/08/1960,115.25
30/08/1960,114.25
31/08/1960,113.5
01/09/1960,114.25
02/09/1960,113.75
06/09/1960,113.25
07/09/1960,113.13
08/09/1960,113.63
09/09/1960,114.5
12/09/1960,114.13
13/09/1960,114.25
14/09/1960,113.63
15/09/1960,113.5
16/09/1960,112.63
19/09/1960,112.75
20/09/1960,112.63
21/09/1960,112.88
22/09/1960,109.13
23/09/1960,109.38
26/09/1960,108.88
27/09/1960,108.75
28/09/1960,109.13
29/09/1960,109
30/09/1960,109.25
03/10/1960,109
04/10/1960,108.88
05/10/1960,108.75
06/10/1960,108.63
07/10/1960,108.5
10/10/1960,108.75
11/10/1960,108.5
12/10/1960,108.38
13/10/1960,108
14/10/1960,108
17/10/1960,107.75
18/10/1960,107.88
19/10/1960,108.75
20/10/1960,109.5
21/10/1960,109.13
24/10/1960,108.88
25/10/1960,108
26/10/1960,108
27/10/1960,108
28/10/1960,107.38
