STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00131442,"CHEROKEE, IA US",01/01/1960,0,0,0,-2.8,-4.4
USC00131442,"CHEROKEE, IA US",02/01/1960,4.8,102,102,-2.8,-8.9
USC00131442,"CHEROKEE, IA US",03/01/1960,0,0,102,-8.9,-18.9
USC00131442,"CHEROKEE, IA US",04/01/1960,0,0,76,-6.7,-25
USC00131442,"CHEROKEE, IA US",05/01/1960,0,0,51,-8.9,-27.8
USC00131442,"CHEROKEE, IA US",06/01/1960,0,0,51,3.9,-18.3
USC00131442,"CHEROKEE, IA US",07/01/1960,0,0,25,2.2,-5
USC00131442,"CHEROKEE, IA US",08/01/1960,0,0,25,-1.1,-12.8
USC00131442,"CHEROKEE, IA US",09/01/1960,0,0,25,3.3,-12.2
USC00131442,"CHEROKEE, IA US",10/01/1960,0,0,25,-0.6,-7.8
USC00131442,"CHEROKEE, IA US",11/01/1960,0,0,25,0,-10.6
USC00131442,"CHEROKEE, IA US",12/01/1960,0,0,25,1.1,-0.6
USC00131442,"CHEROKEE, IA US",13/01/1960,0,0,0,1.7,-1.1
USC00131442,"CHEROKEE, IA US",14/01/1960,0,0,0,1.7,-7.2
USC00131442,"CHEROKEE, IA US",15/01/1960,3,51,51,-4.4,-13.3
USC00131442,"CHEROKEE, IA US",16/01/1960,0,0,51,-5,-22.2
USC00131442,"CHEROKEE, IA US",17/01/1960,0,0,51,-3.3,-14.4
USC00131442,"CHEROKEE, IA US",18/01/1960,0,0,25,-2.8,-12.2
USC00131442,"CHEROKEE, IA US",19/01/1960,0,0,25,-10,-12.2
USC00131442,"CHEROKEE, IA US",20/01/1960,0,0,25,-8.3,-19.4
USC00131442,"CHEROKEE, IA US",21/01/1960,0,0,25,-10.6,-18.9
USC00131442,"CHEROKEE, IA US",22/01/1960,0,0,25,-12.2,-21.7
USC00131442,"CHEROKEE, IA US",23/01/1960,0,0,25,-10.6,-23.3
USC00131442,"CHEROKEE, IA US",24/01/1960,0,0,25,-5,-21.7
USC00131442,"CHEROKEE, IA US",25/01/1960,0,0,25,-5,-12.8
USC00131442,"CHEROKEE, IA US",26/01/1960,0,0,25,-8.3,-12.2
USC00131442,"CHEROKEE, IA US",27/01/1960,0,0,25,-3.9,-11.7
USC00131442,"CHEROKEE, IA US",28/01/1960,0,0,25,-0.6,-7.2
USC00131442,"CHEROKEE, IA US",29/01/1960,0,0,25,-2.2,-8.3
USC00131442,"CHEROKEE, IA US",30/01/1960,0,0,25,3.3,-7.8
USC00131442,"CHEROKEE, IA US",31/01/1960,0,0,25,3.9,-5
USC00131442,"CHEROKEE, IA US",01/02/1960,0,0,0,3.3,-2.8
USC00131442,"CHEROKEE, IA US",02/02/1960,0,0,0,-0.6,-2.8
USC00131442,"CHEROKEE, IA US",03/02/1960,0,0,0,1.7,-2.8
USC00131442,"CHEROKEE, IA US",04/02/1960,0,0,0,1.7,-6.7
USC00131442,"CHEROKEE, IA US",05/02/1960,7.9,25,25,1.1,-6.1
USC00131442,"CHEROKEE, IA US",06/02/1960,0,0,25,0,-3.9
USC00131442,"CHEROKEE, IA US",07/02/1960,0,0,25,0,-5.6
USC00131442,"CHEROKEE, IA US",08/02/1960,0,0,25,5.6,-0.6
USC00131442,"CHEROKEE, IA US",09/02/1960,0,0,0,2.2,-5
USC00131442,"CHEROKEE, IA US",10/02/1960,0,0,0,-3.9,-10.6
USC00131442,"CHEROKEE, IA US",11/02/1960,0,0,0,-4.4,-15
USC00131442,"CHEROKEE, IA US",12/02/1960,0,0,0,-3.9,-17.8
USC00131442,"CHEROKEE, IA US",13/02/1960,0,0,0,-3.3,-16.7
USC00131442,"CHEROKEE, IA US",14/02/1960,0,0,0,-2.2,-17.8
USC00131442,"CHEROKEE, IA US",15/02/1960,0,0,0,3.9,-7.8
USC00131442,"CHEROKEE, IA US",16/02/1960,0,0,0,3.9,-5
USC00131442,"CHEROKEE, IA US",17/02/1960,0,0,0,-3.3,-12.8
USC00131442,"CHEROKEE, IA US",18/02/1960,0,0,0,-5.6,-12.2
