STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",01/01/1960,0,0,25,6.1,-3.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",02/01/1960,0,0,0,4.4,-0.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",03/01/1960,0,0,0,0,-8.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",04/01/1960,0,0,0,-5.6,-15
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",05/01/1960,0,0,0,-4.4,-15
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",06/01/1960,0,0,0,2.2,-13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",07/01/1960,0,0,0,6.1,-3.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",08/01/1960,0,0,0,3.3,-2.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",09/01/1960,0,0,0,6.7,-3.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",10/01/1960,0,0,0,6.1,0
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",11/01/1960,0,0,0,1.1,-3.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",12/01/1960,49.5,0,0,13.9,0.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",13/01/1960,32,0,0,13.3,2.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",14/01/1960,0,0,0,3.3,1.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",15/01/1960,14,20,25,2.2,-4.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",16/01/1960,0,0,25,-1.1,-12.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",17/01/1960,0,0,,-1.1,-7.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",18/01/1960,9.1,127,127,-0.6,-2.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",19/01/1960,1.5,0,102,-2.2,-13.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",20/01/1960,0,0,102,-6.7,-17.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",21/01/1960,0,0,102,-9.4,-19.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",22/01/1960,0,0,102,-9.4,-13.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",23/01/1960,0,0,102,-10,-18.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",24/01/1960,0,0,76,-5.6,-12.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",25/01/1960,0,0,76,-1.1,-10
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",26/01/1960,0,0,76,-2.2,-8.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",27/01/1960,0.8,0,51,-1.1,-3.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",28/01/1960,0,0,51,-0.6,-3.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",29/01/1960,1.3,13,51,0.6,-2.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",30/01/1960,0,0,51,0,-3.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",31/01/1960,0,0,51,4.4,-6.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",01/02/1960,0,0,51,1.7,-5
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",02/02/1960,0,0,51,0,-3.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",03/02/1960,0,0,51,0.6,-5.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",04/02/1960,0,0,51,1.1,-2.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",05/02/1960,4.6,0,25,1.7,0.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",06/02/1960,0,0,25,1.7,-1.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",07/02/1960,0,0,0,0,-5
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",08/02/1960,0,0,0,6.7,-3.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",09/02/1960,0,0,0,4.4,-2.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",10/02/1960,24.1,229,229,-2.2,-5.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",11/02/1960,7.6,25,254,-3.9,-12.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",12/02/1960,0,0,254,-6.7,-15.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",13/02/1960,0,0,254,-2.2,-17.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",14/02/1960,0,0,254,-1.1,-15.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",15/02/1960,0,0,229,0.6,-10
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",16/02/1960,0,0,178,1.7,-2.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",17/02/1960,0,0,127,2.2,-8.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",18/02/1960,0,0,127,-3.3,-13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",19/02/1960,0,0,127,-6.1,-16.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",20/02/1960,0,0,127,-2.2,-13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",21/02/1960,6.9,114,229,0,-8.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",22/02/1960,5.1,64,305,-4.4,-15
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",23/02/1960,0,0,305,-1.7,-12.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",24/02/1960,3,36,330,-2.2,-6.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",25/02/1960,0,0,330,-2.8,-7.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",26/02/1960,0,0,330,-3.3,-7.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",27/02/1960,0,0,305,-4.4,-17.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",28/02/1960,1.3,25,330,-3.9,-8.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",29/02/1960,0,0,305,-6.7,-17.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",01/03/1960,0,0,279,-3.3,-22.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",02/03/1960,0,0,279,-5.6,-15
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",03/03/1960,5.3,76,356,-4.4,-9.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",04/03/1960,0.3,0,356,-8.9,-18.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",05/03/1960,0,0,356,-9.4,-22.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",06/03/1960,0,0,330,-6.7,-25.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",07/03/1960,2,41,381,-6.7,-21.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",08/03/1960,0,0,381,-3.9,-21.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",09/03/1960,1.3,18,381,-3.9,-7.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",10/03/1960,1,25,406,-2.2,-17.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",11/03/1960,0.5,0,381,-3.9,-8.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",12/03/1960,1.5,33,406,1.7,-23.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",13/03/1960,0,0,406,-1.1,-11.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",14/03/1960,0,0,356,-1.1,-20
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",15/03/1960,0,0,330,-0.6,-13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",16/03/1960,3,109,432,-1.1,-5.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",17/03/1960,2,28,432,-1.7,-9.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",18/03/1960,0,0,406,-0.6,-14.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",19/03/1960,0.5,0,381,-0.6,-6.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",20/03/1960,0,0,356,0,-8.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",21/03/1960,0,0,279,1.1,-13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",22/03/1960,0,0,229,2.8,-6.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",23/03/1960,0,0,203,0,-12.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",24/03/1960,0,0,203,-1.1,-7.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",25/03/1960,0,0,203,-5,-15.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",26/03/1960,1.3,0,178,3.9,-8.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",27/03/1960,0,0,178,10.6,1.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",28/03/1960,0,0,102,7.2,0.6
