STATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00014940,01/01/1960,1.3,51,0,-0.6,-4.4
USW00014940,02/01/1960,0,0,51,1.7,-11.1
USW00014940,03/01/1960,0,0,51,-11.1,-21.1
USW00014940,04/01/1960,0,0,51,-9.4,-25.6
USW00014940,05/01/1960,0,0,51,-11.1,-26.1
USW00014940,06/01/1960,0,0,51,-0.6,-11.1
USW00014940,07/01/1960,0,0,51,3.3,-2.2
USW00014940,08/01/1960,0,0,0,-2.2,-11.7
USW00014940,09/01/1960,0,0,0,5,-7.8
USW00014940,10/01/1960,0,0,0,3.9,-6.7
USW00014940,11/01/1960,0,0,0,1.1,-7.8
USW00014940,12/01/1960,0,0,0,1.7,0.6
USW00014940,13/01/1960,0,0,0,2.8,0
USW00014940,14/01/1960,0.8,25,0,0.6,-2.8
USW00014940,15/01/1960,0,0,25,-2.8,-12.8
USW00014940,16/01/1960,0,0,25,-3.9,-17.2
USW00014940,17/01/1960,0,0,25,-2.2,-10.6
USW00014940,18/01/1960,0,0,25,-4.4,-11.7
USW00014940,19/01/1960,0,0,25,-6.1,-13.3
USW00014940,20/01/1960,0,0,25,-8.3,-16.7
USW00014940,21/01/1960,0,0,25,-10.6,-18.3
USW00014940,22/01/1960,0,0,25,-10.6,-18.3
USW00014940,23/01/1960,0,0,25,-7.8,-18.9
USW00014940,24/01/1960,0,0,25,-6.7,-20.6
USW00014940,25/01/1960,0,0,25,-6.7,-12.2
USW00014940,26/01/1960,0,0,25,-7.2,-12.8
USW00014940,27/01/1960,0,0,25,-4.4,-10
USW00014940,28/01/1960,0,0,25,-2.8,-6.1
USW00014940,29/01/1960,0,0,25,-3.3,-7.2
USW00014940,30/01/1960,0,0,25,-1.1,-7.8
USW00014940,31/01/1960,0,0,25,6.1,-6.1
USW00014940,01/02/1960,0,0,0,-0.6,-3.3
USW00014940,02/02/1960,0,0,0,-2.8,-6.1
USW00014940,03/02/1960,0,0,0,1.1,-6.7
USW00014940,04/02/1960,5.8,15,0,4.4,-8.3
USW00014940,05/02/1960,0.3,3,25,0.6,-2.8
USW00014940,06/02/1960,0,0,25,-1.1,-3.9
USW00014940,07/02/1960,0,0,25,0,-6.1
USW00014940,08/02/1960,0,0,25,5,-2.8
USW00014940,09/02/1960,0,0,0,-2.2,-7.2
USW00014940,10/02/1960,0,0,0,-2.8,-10.6
USW00014940,11/02/1960,0,0,0,-5,-14.4
USW00014940,12/02/1960,0,0,0,-4.4,-16.1
USW00014940,13/02/1960,0,0,0,-2.2,-16.1
USW00014940,14/02/1960,0,0,0,-1.7,-13.9
USW00014940,15/02/1960,0,0,0,3.9,-4.4
USW00014940,16/02/1960,0,0,0,6.7,-8.9
USW00014940,17/02/1960,0,0,0,-2.8,-11.7
USW00014940,18/02/1960,0,0,0,-6.1,-16.1
USW00014940,19/02/1960,0,0,0,-7.2,-19.4
USW00014940,20/02/1960,3.3,51,0,-6.1,-11.7
USW00014940,21/02/1960,0.5,0,51,-8.3,-15
USW00014940,22/02/1960,0,0,51,-7.2,-15.6
USW00014940,23/02/1960,0,0,51,-5,-13.9
USW00014940,24/02/1960,0.3,5,51,-3.9,-15
USW00014940,25/02/1960,0,0,51,-5.6,-15
USW00014940,26/02/1960,0,0,51,-5.6,-15
USW00014940,27/02/1960,0,0,51,-5,-18.3
USW00014940,28/02/1960,0.5,0,51,-6.7,-17.2
USW00014940,29/02/1960,0,0,51,-8.9,-21.1
USW00014940,01/03/1960,0,0,51,-8.3,-20
USW00014940,02/03/1960,0.5,18,51,-8.3,-15
USW00014940,03/03/1960,0,0,76,-8.9,-17.8
USW00014940,04/03/1960,0,0,76,-12.2,-21.7
USW00014940,05/03/1960,0,0,76,-10.6,-26.1
USW00014940,06/03/1960,2,61,76,-11.1,-24.4
USW00014940,07/03/1960,0,0,127,-8.9,-23.9
USW00014940,08/03/1960,1.5,51,102,-5.6,-17.2
USW00014940,09/03/1960,2.3,36,178,-2.8,-12.2
USW00014940,10/03/1960,0.8,8,178,-3.9,-15
USW00014940,11/03/1960,0.8,8,203,-2.8,-12.2
USW00014940,12/03/1960,0,0,203,-6.1,-17.8
USW00014940,13/03/1960,1.3,25,229,-7.8,-21.7
USW00014940,14/03/1960,0,0,229,-6.1,-23.3
USW00014940,15/03/1960,0,0,229,-2.2,-15
USW00014940,16/03/1960,2,51,229,-3.3,-6.1
USW00014940,17/03/1960,0,0,229,-2.8,-15
USW00014940,18/03/1960,0.5,5,203,-0.6,-15.6
USW00014940,19/03/1960,0,0,203,0,-6.7
USW00014940,20/03/1960,0,0,152,-1.1,-13.3
USW00014940,21/03/1960,0,0,127,2.8,-14.4
USW00014940,22/03/1960,0,0,102,-3.3,-12.8
USW00014940,23/03/1960,0,0,76,1.1,-12.8
USW00014940,24/03/1960,0,0,76,-1.7,-14.4
USW00014940,25/03/1960,0.3,3,76,-4.4,-14.4
USW00014940,26/03/1960,0,0,76,2.8,-6.1
USW00014940,27/03/1960,0,0,51,10,2.2
USW00014940,28/03/1960,0,0,0,3.9,-0.6
USW00014940,29/03/1960,0,0,0,10.6,3.9
USW00014940,30/03/1960,0,0,0,5,-1.1
USW00014940,31/03/1960,0,0,0,8.9,-3.9
USW00014940,01/04/1960,5.1,0,0,8.3,2.8
USW00014940,02/04/1960,0.5,0,0,5.6,1.1
USW00014940,03/04/1960,0,0,0,8.9,0.6
USW00014940,04/04/1960,1,0,0,8.3,0.6
USW00014940,05/04/1960,0,0,0,8.3,-1.1
USW00014940,06/04/1960,0,0,0,12.8,0.6
USW00014940,07/04/1960,0,0,0,10,-0.6
USW00014940,08/04/1960,0,0,0,1.7,-4.4
USW00014940,09/04/1960,0,0,0,2.8,-7.2
USW00014940,10/04/1960,0,0,0,10.6,-7.8
USW00014940,11/04/1960,0,0,0,18.3,1.7
USW00014940,12/04/1960,0.5,0,0,18.9,-1.7
USW00014940,13/04/1960,0.8,0,0,20,6.7
USW00014940,14/04/1960,0,0,0,23.9,5
USW00014940,15/04/1960,0,0,0,24.4,5.6
USW00014940,16/04/1960,10.7,0,0,14.4,0.6
USW00014940,17/04/1960,0,0,0,7.2,-1.1
USW00014940,18/04/1960,0,0,0,15,-3.9
USW00014940,19/04/1960,0,0,0,22.2,3.3
USW00014940,20/04/1960,0.3,0,0,22.2,5
USW00014940,21/04/1960,0,0,0,28.9,1.7
USW00014940,22/04/1960,0,0,0,31.7,7.2
USW00014940,23/04/1960,0,0,0,30.6,17.2
USW00014940,24/04/1960,0,0,0,25,10
USW00014940,25/04/1960,18.3,0,0,14.4,4.4
USW00014940,26/04/1960,0,0,0,15.6,3.3
USW00014940,27/04/1960,0.5,0,0,11.7,-0.6
USW00014940,28/04/1960,9.1,0,0,17.8,5
USW00014940,29/04/1960,0.3,0,0,12.8,5
USW00014940,30/04/1960,0,0,0,7.8,-0.6
USW00014940,01/05/1960,0,0,0,19.4,1.1
USW00014940,02/05/1960,0.8,0,0,25,7.2
USW00014940,03/05/1960,0,0,0,26.1,8.9
USW00014940,04/05/1960,6.1,0,0,24.4,12.2
USW00014940,05/05/1960,8.4,0,0,18.3,10.6
USW00014940,06/05/1960,7.1,0,0,11.1,0
USW00014940,07/05/1960,0,0,0,10.6,0
USW00014940,08/05/1960,0,0,0,14.4,-1.1
USW00014940,09/05/1960,0.5,0,0,13.9,1.7
USW00014940,10/05/1960,0.8,0,0,17.2,2.8
USW00014940,11/05/1960,0,0,0,18.9,0.6
USW00014940,12/05/1960,0,0,0,22.8,2.8
USW00014940,13/05/1960,0,0,0,26.1,5
USW00014940,14/05/1960,0,0,0,28.9,8.3
USW00014940,15/05/1960,0,0,0,28.3,11.1
USW00014940,16/05/1960,11.2,0,0,20.6,11.1
USW00014940,17/05/1960,0,0,0,21.7,8.9
USW00014940,18/05/1960,14,0,0,16.7,10
USW00014940,19/05/1960,14,0,0,25,15.6
USW00014940,20/05/1960,8.6,0,0,23.9,15.6
USW00014940,21/05/1960,8.9,0,0,18.3,13.9
USW00014940,22/05/1960,0,0,0,23.3,12.8
USW00014940,23/05/1960,0,0,0,26.1,10.6
USW00014940,24/05/1960,0,0,0,22.8,13.9
USW00014940,25/05/1960,0.8,0,0,21.1,13.9
USW00014940,26/05/1960,0.5,0,0,18.9,13.3
USW00014940,27/05/1960,0,0,0,17.2,12.2
USW00014940,28/05/1960,0,0,0,20.6,12.8
USW00014940,29/05/1960,0,0,0,23.9,12.8
USW00014940,30/05/1960,0,0,0,26.1,11.1
USW00014940,31/05/1960,0,0,0,27.8,12.8
USW00014940,01/06/1960,0,0,0,28.3,11.1
USW00014940,02/06/1960,0,0,0,30.6,10
USW00014940,03/06/1960,0,0,0,31.7,10
USW00014940,04/06/1960,0,0,0,26.1,10.6
USW00014940,05/06/1960,0,0,0,23.9,9.4
USW00014940,06/06/1960,0,0,0,22.2,8.9
USW00014940,07/06/1960,0,0,0,22.8,6.1
USW00014940,08/06/1960,0,0,0,25,6.7
USW00014940,09/06/1960,0,0,0,27.2,11.1
USW00014940,10/06/1960,1.3,0,0,30,15.6
USW00014940,11/06/1960,0.3,0,0,19.4,14.4
USW00014940,12/06/1960,0,0,0,17.8,14.4
USW00014940,13/06/1960,0,0,0,26.1,14.4
USW00014940,14/06/1960,0,0,0,28.9,8.3
USW00014940,15/06/1960,4.1,0,0,27.8,15.6
USW00014940,16/06/1960,26.9,0,0,19.4,8.3
USW00014940,17/06/1960,0,0,0,22.8,5
USW00014940,18/06/1960,0,0,0,28.3,16.1
USW00014940,19/06/1960,0,0,0,28.9,13.9
USW00014940,20/06/1960,13.2,0,0,18.9,13.9
USW00014940,21/06/1960,1.5,0,0,19.4,14.4
USW00014940,22/06/1960,0,0,0,25.6,8.9
USW00014940,23/06/1960,15.2,0,0,21.7,13.3
USW00014940,24/06/1960,0,0,0,24.4,11.1
USW00014940,25/06/1960,0,0,0,27.2,10.6
USW00014940,26/06/1960,0,0,0,28.9,12.8
USW00014940,27/06/1960,0,0,0,32.2,18.9
USW00014940,28/06/1960,0.8,0,0,29.4,19.4
USW00014940,29/06/1960,0,0,0,29.4,13.9
USW00014940,30/06/1960,0,0,0,20.6,12.8
USW00014940,01/07/1960,0,0,0,27.2,10
USW00014940,02/07/1960,15.2,0,0,27.8,15.6
USW00014940,03/07/1960,0,0,0,22.2,11.7
USW00014940,04/07/1960,0,0,0,24.4,9.4
